Present_Transcription	Past_Transcription
ɛ.k.s.p.ɔ.ɹ.t	ɪ.k.s.p.ɔ.ɹ.t.ʌ.d
b.ɑ.ɹ.k	b.ɑ.ɹ.k.t
b.ɹ.u.d	b.ɹ.u.d.ɪ.d
k.ɑ.n.t.ɹ.æ.s.t	k.ʌ.n.t.ɹ.æ.s.t.ʌ.d
d.ɛ.d.ʌ.k.eɪ.t	d.ɛ.d.ʌ.k.eɪ.t.ʌ.d
h.ɑ.ɹ.m	h.ɑ.ɹ.m.d
ɪ.n.dʒ.ɚ	ɪ.n.dʒ.ɚ.d
m.ɪ.ŋ.g.ʌ.l	m.ɪ.ŋ.g.ʌ.l.d
s.ɔ.ɹ	s.ɔ.ɹ.d
s.p.ɛ.ʃ.ʌ.l.aɪ.z	s.p.ɛ.ʃ.ʌ.l.aɪ.z.d
s.p.l.æ.ʃ	s.p.l.æ.ʃ.t
s.p.ɹ.eɪ	s.p.ɹ.eɪ.d
k.ɑ.n.v.ɪ.k.t	k.ʌ.n.v.ɪ.k.t.ʌ.d
ɪ.k.w.ɪ.p	ɪ.k.w.ɪ.p.t
h.ɑ.ɹ.d.ʌ.n	h.ɑ.ɹ.d.ʌ.n.d
g.ɹ.oʊ.p	g.ɹ.oʊ.p.t
ɹ.i.s.aɪ.k.ʌ.l	ɹ.i.s.aɪ.k.ʌ.l.d
ɹ.i.h.ɚ.s	ɹ.i.h.ɚ.s.t
t.w.ɪ.tʃ	t.w.ɪ.tʃ.t
d.ɪ.s.p.ɚ.s	d.ɪ.s.p.ɚ.s.t
h.æ.n.d.i.k.æ.p	h.æ.n.d.i.k.æ.p.t
h.aʊ.l	h.aʊ.l.d
ɪ.l.u.m.ɪ.n.ɪ.t	ɪ.l.u.m.ʌ.n.eɪ.t.ʌ.d
k.l.ɛ.n.tʃ	k.l.ɛ.n.tʃ.t
ɛ.n.d.ɔ.ɹ.s	ɛ.n.d.ɔ.ɹ.s.t
p.æ.n.t	p.æ.n.t.ɪ.d
s.æ.k	s.æ.k.t
s.w.ɚ.l	s.w.ɚ.l.d
d.æ.ŋ.g.ʌ.l	d.æ.ŋ.g.ʌ.l.d
ɚ.ɪ.dʒ.ʌ.n.eɪ.t	ɚ.ɪ.dʒ.ʌ.n.eɪ.t.ʌ.d
ɹ.ʌ.f.ɔ.ɹ.m	ɹ.ɪ.f.ɔ.ɹ.m.d
ɛ.n.t.eɪ.l	ɪ.n.t.eɪ.l.d
m.ɪ.l.k	m.ɪ.l.k.t
p.i.l	p.i.l.d
p.ɑ.n.d.ɚ	p.ɑ.n.d.ɚ.d
k.ɑ.m.p.ɹ.ɛ.s	k.ʌ.m.p.ɹ.ɛ.s.t
f.ɔ.ɹ.dʒ	f.ɔ.ɹ.dʒ.d
h.ɑ.ɹ.v.ʌ.s.t	h.ɑ.ɹ.v.ʌ.s.t.ɪ.d
m.ɑ.k	m.ɑ.k.t
s.p.ɛ.s.ʌ.f.aɪ	s.p.ɛ.s.ʌ.f.aɪ.d
l.u.m	l.u.m.d
p.ɹ.ɑ.s.ʌ.k.j.u.t	p.ɹ.ɑ.s.ɪ.k.j.u.t.ɪ.d
t.ɪ.k	t.ɪ.k.t
ʌ.n.d.u	ʌ.n.d.ɪ.d
tʃ.ɪ.l	tʃ.ɪ.l.d
ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z	ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z.d
ɪ.n.t.ɛ.n.s.ɪ.f.aɪ	ɪ.n.t.ɛ.n.s.ɪ.f.aɪ.d
oʊ.m.ɪ.t	oʊ.m.ɪ.t.ʌ.d
s.ɑ.f.ʌ.n	s.ɔ.f.ʌ.n.d
k.ʌ.n.f.ɚ	k.ʌ.n.f.ɚ.d
d.ɪ.s.ʌ.p.l.ʌ.n	d.ɪ.s.ʌ.p.l.ʌ.n.d
d.ɪ.s.t.ɹ.æ.k.t	d.ɪ.s.t.ɹ.æ.k.t.ʌ.d
ɪ.n.h.ɪ.b.ʌ.t	ɪ.n.h.ɪ.b.ʌ.t.ɪ.d
m.ɪ.n.ʌ.m.aɪ.z	m.ɪ.n.ʌ.m.aɪ.z.d
ɹ.i.z.ʌ.n	ɹ.i.z.ʌ.n.d
s.p.ɑ.n.s.ɚ	s.p.ɑ.n.s.ɚ.d
b.ɔ.ɹ.d	b.ɔ.ɹ.d.ʌ.d
f.l.æ.t.ʌ.n	f.l.æ.t.ʌ.n.d
n.ɪ.t	n.ɪ.t.ʌ.d
p.ɪ.n.tʃ	p.ɪ.n.tʃ.t
s.ʌ.p.l.ʌ.m.ʌ.n.t	s.ʌ.p.l.ʌ.m.ɛ.n.t.ɪ.d
m.ɪ.s.t.eɪ.k	m.ɪ.s.t.ʊ.k
n.ʌ.m.b.ɚ	n.ʌ.m.b.ɚ.d
ɹ.ɪ.t.ɹ.i.v	ɹ.i.t.ɹ.i.v.d
s.k.ɪ.p	s.k.ɪ.p.t
w.eɪ.l	w.eɪ.l.d
eɪ.d	eɪ.d.ɪ.d
ɛ.dʒ	ɛ.dʒ.d
d.ɪ.s.p.ɛ.n.s	d.ɪ.s.p.ɛ.n.s.t
t.ɛ.s.t.ɪ.f.aɪ	t.ɛ.s.t.ɪ.f.aɪ.d
w.i.l	w.i.l.d
k.ɹ.ʌ.m.p.ʌ.l	k.ɹ.ʌ.m.p.ʌ.l.d
ɹ.ɛ.k.ʌ.n.s.aɪ.l	ɹ.ɛ.k.ʌ.n.s.aɪ.l.d
ɹ.oʊ.s.t	ɹ.oʊ.s.t.ʌ.d
s.k.æ.n	s.k.æ.n.d
s.p.ɹ.ɔ.l	s.p.ɹ.ɔ.l.d
b.æ.t.ʌ.l	b.æ.t.ʌ.l.d
d.w.ɛ.l	d.w.ɛ.l.d
g.ɹ.ʌ.n.t	g.ɹ.ʌ.n.t.ɪ.d
oʊ.v.ɚ.w.ɛ.l.m	oʊ.v.ɚ.w.ɛ.l.m.d
s.ɪ.g.n.ʌ.f.aɪ	s.ɪ.g.n.ʌ.f.aɪ.d
t.ɹ.ɪ.g.ɚ	t.ɹ.ɪ.g.ɚ.d
ʌ.p.l.ɔ.d	ʌ.p.l.ɔ.d.ɪ.d
b.eɪ.ð	b.eɪ.ð.d
k.l.ɪ.k	k.l.ɪ.k.t
k.ʌ.n.g.ɹ.æ.tʃ.ʌ.l.eɪ.t	k.ʌ.n.g.ɹ.æ.tʃ.ʌ.l.eɪ.t.ɪ.d
d.w.ɪ.n.d.ʌ.l	d.w.ɪ.n.d.ʌ.l.d
ɪ.v.oʊ.k	ɪ.v.oʊ.k.t
l.u.s.ʌ.n	l.u.s.ʌ.n.d
n.æ.g	n.æ.g.d
θ.ɹ.ɪ.l	θ.ɹ.ɪ.l.d
ʌ.l.ɚ.t	ʌ.l.ɚ.t.ɪ.d
d.eɪ.z	d.eɪ.z.d
dʒ.ɛ.s.tʃ.ɚ	dʒ.ɛ.s.tʃ.ɚ.d
ɹ.ɛ.g.j.ʌ.l.eɪ.t	ɹ.ɛ.g.j.ʌ.l.eɪ.t.ʌ.d
ɹ.aʊ.s	ɹ.aʊ.z.d
b.i.m	b.i.m.d
k.l.æ.s.ʌ.f.aɪ	k.l.æ.s.ʌ.f.aɪ.d
d.ɪ.s.tʃ.ɑ.ɹ.dʒ	d.ɪ.s.tʃ.ɑ.ɹ.dʒ.d
ɛ.d.ʌ.t	ɛ.d.ʌ.t.ʌ.d
ɪ.m.b.ɑ.d.i	ɪ.m.b.ɑ.d.i.d
ɪ.k.s.p.ɛ.ɹ.ʌ.m.ʌ.n.t	ɪ.k.s.p.ɛ.ɹ.ʌ.m.ʌ.n.t.ʌ.d
p.aʊ.n.d	p.aʊ.n.d.ɪ.d
k.oʊ.m	k.oʊ.m.d
ʌ.b.s.k.j.ʊ.ɹ	ʌ.b.s.k.j.ʊ.ɹ.d
p.ʌ.f	p.ʌ.f.t
k.l.oʊ.ð	k.l.oʊ.ð.d
ɪ.ɹ.oʊ.d	ɪ.ɹ.oʊ.d.ʌ.d
f.ɛ.l	f.ɛ.l.d
w.ɔ.t.ɚ	w.ɔ.t.ɚ.d
ʌ.s.ɔ.l.t	ʌ.s.ɔ.l.t.ɪ.d
b.ʊ.l.i	b.ʊ.l.i.d
tʃ.ɛ.ɹ.ɪ.ʃ	tʃ.ɛ.ɹ.ɪ.ʃ.t
d.ɪ.s.ʌ.p.ɹ.u.v	d.ɪ.s.ʌ.p.ɹ.u.v.d
f.ɪ.l.t.ɚ	f.ɪ.l.t.ɚ.d
g.l.ɪ.s.ʌ.n	g.l.ɪ.s.ʌ.n.d
h.ɪ.s	h.ɪ.s.t
h.ʌ.d.ʌ.l	h.ʌ.d.ʌ.l.d
p.ɔ.ɹ.t.ɹ.eɪ	p.ɔ.ɹ.t.ɹ.eɪ.d
s.ɪ.m.ɚ	s.ɪ.m.ɚ.d
j.u.n.ʌ.f.aɪ	j.u.n.ʌ.f.aɪ.d
b.l.aɪ.n.d	b.l.aɪ.n.d.ɪ.d
f.ʌ.m.b.ʌ.l	f.ʌ.m.b.ʌ.l.d
h.eɪ.s.ʌ.n	h.eɪ.s.ʌ.n.d
oʊ.v.ɚ.t.eɪ.k	oʊ.v.ɚ.t.ʊ.k
ʃ.ɑ.ɹ.p.ʌ.n	ʃ.ɑ.ɹ.p.ʌ.n.d
s.t.aɪ.f.ʌ.l	s.t.aɪ.f.ʌ.l.d
d.ɪ.k.eɪ	d.ɪ.k.eɪ.d
f.u.l	f.u.l.d
m.oʊ.b.ʌ.l.aɪ.z	m.oʊ.b.ʌ.l.aɪ.z.d
p.æ.d	p.æ.d.ʌ.d
s.t.ɛ.ɹ.ʌ.l.aɪ.z	s.t.ɛ.ɹ.ʌ.l.aɪ.z.d
t.æ.ŋ.g.ʌ.l	t.æ.ŋ.g.ʌ.l.d
k.ʌ.n.t.ɛ.n.d	k.ʌ.n.t.ɛ.n.d.ɪ.d
d.ɹ.ɛ.d	d.ɹ.ɛ.d.ɪ.d
f.ɪ.l.m	f.ɪ.l.m.d
h.ɑ.p	h.ɑ.p.t
l.ɚ.k	l.ɚ.k.t
ɹ.ɪ.v.aɪ.z	ɹ.ɪ.v.aɪ.z.d
s.i.z.ʌ.n	s.i.z.ʌ.n.d
s.t.ɑ.k	s.t.ɑ.k.t
ɛ.s.k.ɔ.ɹ.t	ɛ.s.k.ɔ.ɹ.t.ɪ.d
f.l.ɛ.ɹ	f.l.ɛ.ɹ.d
m.æ.s.t.ɚ	m.æ.s.t.ɚ.d
p.ʌ.l.u.t	p.ʌ.l.u.t.ʌ.d
p.ɹ.oʊ.b	p.ɹ.oʊ.b.d
ʃ.ɛ.l.t.ɚ	ʃ.ɛ.l.t.ɚ.d
w.ɪ.ð.ɚ	w.ɪ.ð.ɚ.d
b.ɹ.u.z	b.ɹ.u.z.d
d.ʌ.s.t	d.ʌ.s.t.ɪ.d
h.ʌ.n.tʃ	h.ʌ.n.tʃ.t
l.æ.ʃ	l.æ.ʃ.t
n.ɚ.s	n.ɚ.s.t
ɹ.ɪ.s.i.d	ɹ.ʌ.s.i.d.ʌ.d
s.u.p.ɚ.v.aɪ.z	s.u.p.ɚ.v.aɪ.z.d
t.ɹ.æ.n.s.ɛ.n.d	t.ɹ.æ.n.s.ɛ.n.d.ɪ.d
t.ɹ.ɪ.m	t.ɹ.ɪ.m.d
ʌ.n.d.ɚ.ɛ.s.t.ʌ.m.eɪ.t	ʌ.n.d.ɚ.ɛ.s.t.ʌ.m.eɪ.t.ɪ.d
eɪ.dʒ	eɪ.dʒ.d
eɪ.l.j.ʌ.n.eɪ.t	eɪ.l.i.ʌ.n.eɪ.t.ɪ.d
d.ɑ.ɹ.t	d.ɑ.ɹ.t.ɪ.d
d.aɪ.dʒ.ɛ.s.t	d.aɪ.dʒ.ɛ.s.t.ɪ.d
ɪ.v.æ.l.j.u.eɪ.t	ɪ.v.æ.l.j.u.eɪ.t.ʌ.d
g.ɹ.ʌ.m.b.ʌ.l	g.ɹ.ʌ.m.b.ʌ.l.d
m.ɛ.n.d	m.ɛ.n.d.ɪ.d
p.l.ʌ.k	p.l.ʌ.k.t
s.æ.g	s.æ.g.d
s.ɪ.d.u.s	s.ɪ.d.u.s.t
s.t.ɪ.ŋ	s.t.ʌ.ŋ
ɑ.ɹ.tʃ	ɑ.ɹ.tʃ.t
k.ʌ.m.ɪ.ʃ.ʌ.n	k.ʌ.m.ɪ.ʃ.ʌ.n.d
ɹ.ʌ.s.aɪ.t	ɹ.ʌ.s.aɪ.t.ʌ.d
s.t.ɔ.k	s.t.ɔ.k.t
j.u.n.aɪ.t	j.u.n.aɪ.t.ʌ.d
b.u.s.t	b.u.s.t.ɪ.d
s.ɛ.n.t.ɹ.ʌ.l.aɪ.z	s.ɛ.n.t.ɹ.ʌ.l.aɪ.z.d
m.ʌ.tʃ.ʊ.ɹ	m.ʌ.t.j.ʊ.ɹ.d
s.k.ɹ.i.n	s.k.ɹ.i.n.d
ʌ.n.d.ɹ.ɛ.s	ʌ.n.d.ɹ.ɛ.s.t
w.eɪ.d	w.eɪ.d.ɪ.d
d.ɪ.v.aʊ.ɚ	d.ɪ.v.aʊ.ɚ.d
d.ɹ.u.p	d.ɹ.u.p.t
s.ɪ.m.b.ʌ.l.aɪ.z	s.ɪ.m.b.ʌ.l.aɪ.z.d
b.l.ɛ.n.d	b.l.ɛ.n.d.ɪ.d
p.l.ɑ.t	p.l.ɑ.t.ʌ.d
ɹ.i.ʌ.p.ɪ.ɹ	ɹ.i.ʌ.p.ɪ.ɹ.d
k.ʌ.p.ʌ.l	k.ʌ.p.ʌ.l.d
ʌ.p.ɹ.ɛ.s	ʌ.p.ɹ.ɛ.s.t
p.ʌ.z.ɪ.ʃ.ʌ.n	p.ʌ.z.ɪ.ʃ.ʌ.n.d
ʃ.ɑ.p	ʃ.ɑ.p.t
s.ʌ.m.ɚ.aɪ.z	s.ʌ.m.ɚ.aɪ.z.d
æ.l.ʌ.k.eɪ.t	æ.l.ʌ.k.eɪ.t.ɪ.d
b.l.æ.k	b.l.æ.k.t
k.ɹ.i.k	k.ɹ.i.k.t
ɛ.n.d.eɪ.n.dʒ.ɚ	ɛ.n.d.eɪ.n.dʒ.ɚ.d
ɪ.v.æ.p.ɚ.eɪ.t	ɪ.v.æ.p.ɚ.eɪ.t.ʌ.d
h.ɚ.æ.s	h.ɚ.æ.s.t
t.ɔ.ɹ.m.ɛ.n.t	t.ɔ.ɹ.m.ɛ.n.t.ɪ.d
ʌ.w.eɪ.k	ʌ.w.oʊ.k
b.ɛ.k.ʌ.n	b.ɛ.k.ʌ.n.d
ɪ.n.v.oʊ.k	ɪ.n.v.oʊ.k.t
p.oʊ.s.t	p.oʊ.s.t.ɪ.d
s.t.ɔ.ɹ.m	s.t.ɔ.ɹ.m.d
d.ɪ.s.ɹ.ʌ.p.t	d.ɪ.s.ɹ.ʌ.p.t.ɪ.d
k.l.ɛ.ɹ.ʌ.f.aɪ	k.l.ɛ.ɹ.ʌ.f.aɪ.d
p.ɪ.ɹ.s	p.ɪ.ɹ.s.t
ʃ.ɔ.ɹ.t.ʌ.n	ʃ.ɔ.ɹ.t.ʌ.n.d
s.ʌ.b.s.aɪ.d	s.ʌ.b.s.aɪ.d.ɪ.d
w.ɪ.ŋ.k	w.ɪ.ŋ.k.t
d.ɪ.s.ɪ.n.t.ʌ.g.ɹ.eɪ.t	d.ɪ.s.ɪ.n.t.ʌ.g.ɹ.eɪ.t.ɪ.d
d.aɪ	d.aɪ.d
l.ɛ.s.ʌ.n	l.ɛ.s.ʌ.n.d
ɹ.i.p.eɪ	ɹ.i.p.eɪ.d
s.aɪ.l.ʌ.n.s	s.aɪ.l.ʌ.n.s.t
s.w.ɔ.ɹ.m	s.w.ɔ.ɹ.m.d
t.ɹ.æ.m.p.ʌ.l	t.ɹ.æ.m.p.ʌ.l.d
k.l.æ.m.b.ɚ	k.l.æ.m.b.ɚ.d
d.ɪ.s.k.l.oʊ.z	d.ɪ.s.k.l.oʊ.z.d
p.aɪ.ʌ.n.ɪ.ɹ	p.aɪ.ʌ.n.ɪ.ɹ.d
ɹ.ɪ.z.ɔ.ɹ.t	ɹ.ɪ.z.ɔ.ɹ.t.ɪ.d
s.t.æ.b	s.t.æ.b.d
d.ɪ.g.ɹ.eɪ.d	d.ɪ.g.ɹ.eɪ.d.ʌ.d
m.æ.k.s.ʌ.m.aɪ.z	m.æ.k.s.ʌ.m.aɪ.z.d
oʊ.v.ɚ.k.ɹ.aʊ.d	oʊ.v.ɚ.k.ɹ.aʊ.d.ɪ.d
v.ɑ.l.ʌ.n.t.ɪ.ɹ	v.ɑ.l.ʌ.n.t.ɪ.ɹ.d
ɹ.ɛ.s.ʌ.l	ɹ.ɛ.s.ʌ.l.d
ɔ.θ.ɚ.aɪ.z	ɔ.θ.ɚ.aɪ.z.d
s.ɔɪ.l	s.ɔɪ.l.d
t.aɪ.ɚ	t.aɪ.ɚ.d
æ.ŋ.g.ɚ	æ.ŋ.g.ɚ.d
ʌ.v.ɚ.t	ʌ.v.ɚ.t.ʌ.d
k.ɑ.m.p.aʊ.n.d	k.ʌ.m.p.aʊ.n.d.ʌ.d
k.ɑ.m.p.ɹ.i.h.ɛ.n.d	k.ɑ.m.p.ɹ.ɪ.h.ɛ.n.d.ɪ.d
d.i.p.ʌ.n	d.i.p.ʌ.n.d
m.ɪ.s.ʌ.n.d.ɚ.s.t.æ.n.d	m.ɪ.s.ʌ.n.d.ɚ.s.t.ʊ.d
m.ʌ.f.ʌ.l	m.ʌ.f.ʌ.l.d
aʊ.t.ɹ.eɪ.dʒ	aʊ.t.ɹ.eɪ.dʒ.d
s.k.ɪ.m	s.k.ɪ.m.d
t.ɹ.ɪ.k.ʌ.l	t.ɹ.ɪ.k.ʌ.l.d
ʌ.n.f.oʊ.l.d	ʌ.n.f.oʊ.l.d.ʌ.d
tʃ.æ.n.t	tʃ.æ.n.t.ɪ.d
k.ɹ.ɑ.p	k.ɹ.ɑ.p.t
ɪ.n.t.ʌ.ɹ.ɛ.s.t	ɪ.n.t.ʌ.ɹ.ɛ.s.t.ɪ.d
b.ʌ.z	b.ʌ.z.d
k.ɹ.aʊ.d	k.ɹ.aʊ.d.ʌ.d
ɪ.n.s.u	ɪ.n.s.u.d
ɪ.v.eɪ.d	ɪ.v.eɪ.d.ɪ.d
g.ɹ.eɪ.d	g.ɹ.eɪ.d.ʌ.d
m.ɛ.s	m.ɛ.s.t
p.ʌ.l.i.s	p.ʌ.l.i.s.t
j.ɔ.n	j.ɔ.n.d
k.ɑ.m.p.l.ʌ.k.eɪ.t	k.ɑ.m.p.l.ʌ.k.eɪ.t.ʌ.d
l.ɪ.t.ɚ	l.ɪ.t.ɚ.d
p.ɹ.oʊ.h.ɪ.b.ʌ.t	p.ɹ.oʊ.h.ɪ.b.ʌ.t.ʌ.d
s.k.ɛ.ɹ	s.k.ɛ.ɹ.d
s.t.u.p	s.t.u.p.t
d.ɪ.m.ɑ.l.ɪ.ʃ	d.ɪ.m.ɑ.l.ɪ.ʃ.t
d.ɪ.s.p.l.eɪ.s	d.ɪ.s.p.l.eɪ.s.t
d.ɹ.eɪ.p	d.ɹ.eɪ.p.t
t.ɹ.æ.n.s.p.ɔ.ɹ.t	t.ɹ.æ.n.s.p.ɔ.ɹ.t.ʌ.d
ɛ.n.ɹ.ɪ.tʃ	ɛ.n.ɹ.ɪ.tʃ.t
l.ɑ.dʒ	l.ɑ.dʒ.d
b.æ.f.ʌ.l	b.æ.f.ʌ.l.d
k.ɑ.n.t.ɹ.ʌ.d.ɪ.k.t	k.ɑ.n.t.ɹ.ʌ.d.ɪ.k.t.ʌ.d
d.ɪ.t.ɪ.ɹ.i.ɚ.eɪ.t	d.ɪ.t.ɪ.ɹ.i.ɚ.eɪ.t.ɪ.d
n.ɚ.ɪ.ʃ	n.ɚ.ɪ.ʃ.t
ɹ.oʊ.m	ɹ.oʊ.m.d
θ.ɹ.æ.ʃ	θ.ɹ.æ.ʃ.t
j.u.t.ʌ.l.aɪ.z	j.u.t.ʌ.l.aɪ.z.d
v.aɪ.ʌ.l.eɪ.t	v.aɪ.ʌ.l.eɪ.t.ɪ.d
b.l.eɪ.z	b.l.eɪ.z.d
d.aʊ.n	d.aʊ.n.d
f.l.aʊ.ɚ	f.l.aʊ.ɚ.d
p.æ.k.ʌ.dʒ	p.æ.k.ɪ.dʒ.d
p.ʌ.b.l.ɪ.s.aɪ.z	p.ʌ.b.l.ɪ.s.aɪ.z.d
ɹ.ɛ.b.ʌ.l	ɹ.ɪ.b.ɛ.l.d
s.u.ð	s.u.ð.d
d.ɛ.z.ʌ.g.n.eɪ.t	d.ɛ.z.ɪ.g.n.eɪ.t.ɪ.d
h.eɪ.l	h.eɪ.l.d
m.eɪ.t	m.eɪ.t.ɪ.d
ɹ.eɪ.d	ɹ.eɪ.d.ɪ.d
s.ɛ.v.ɚ	s.ɛ.v.ɚ.d
k.ʌ.n.s.ɑ.l.ɪ.d.eɪ.t	k.ʌ.n.s.ɑ.l.ʌ.d.eɪ.t.ʌ.d
d.ɪ.p.l.ɔ.ɹ	d.ɪ.p.l.ɔ.ɹ.d
ɪ.m.ɪ.t	ɪ.m.ɪ.t.ʌ.d
s.ɪ.m.p.l.ʌ.f.aɪ	s.ɪ.m.p.l.ʌ.f.aɪ.d
ʌ.s.p.aɪ.ɹ	ʌ.s.p.aɪ.ɹ.d
m.æ.g.n.ʌ.f.aɪ	m.æ.g.n.ʌ.f.aɪ.d
s.l.ʌ.m.p	s.l.ʌ.m.p.t
b.l.æ.s.t	b.l.æ.s.t.ʌ.d
b.ʌ.t.ʌ.n	b.ʌ.t.ʌ.n.d
k.ʌ.n.f.aɪ.d	k.ʌ.n.f.aɪ.d.ɪ.d
d.oʊ.z	d.oʊ.z.d
f.ʌ.s.ɪ.l.ʌ.t.eɪ.t	f.ʌ.s.ɪ.l.ʌ.t.eɪ.t.ɪ.d
k.ɪ.d.n.æ.p	k.ɪ.d.n.æ.p.t
l.ɚ.tʃ	l.ɚ.tʃ.t
ɹ.æ.ŋ.k	ɹ.æ.ŋ.k.t
s.l.ɔ.t.ɚ	s.l.ɔ.t.ɚ.d
s.p.ɹ.aʊ.t	s.p.ɹ.aʊ.t.ʌ.d
f.æ.ʃ.ʌ.n	f.æ.ʃ.ʌ.n.d
oʊ.v.ɚ.l.æ.p	oʊ.v.ɚ.l.æ.p.t
s.t.eɪ.ʃ.ʌ.n	s.t.eɪ.ʃ.ʌ.n.d
θ.ɪ.n	θ.ɪ.n.d
t.ɹ.ɪ.p	t.ɹ.ɪ.p.t
ɔ.l.t.ɚ.n.ʌ.t	ɔ.l.t.ɚ.n.eɪ.t.ʌ.d
d.ɪ.p.ɹ.ɛ.s	d.ɪ.p.ɹ.ɛ.s.t
dʒ.ɛ.n.ɚ.ʌ.l.aɪ.z	dʒ.ɛ.n.ɚ.ʌ.l.aɪ.z.d
ɹ.eɪ.n	ɹ.eɪ.n.d
s.k.u.p	s.k.u.p.t
d.ʌ.k	d.ʌ.k.t
m.æ.n.ʌ.f.ɛ.s.t	m.æ.n.ʌ.f.ɛ.s.t.ʌ.d
ɹ.i.v.ɑ.l.v	ɹ.i.v.ɑ.l.v.d
ʌ.b.j.u.s	ʌ.b.j.u.z.d
k.ɑ.k	k.ɑ.k.t
f.l.ɪ.p	f.l.ɪ.p.t
g.ɪ.ɹ	g.ɪ.ɹ.d
ʌ.n.k.ʌ.v.ɚ	ʌ.n.k.ʌ.v.ɚ.d
ʌ.n.l.oʊ.d	ʌ.n.l.oʊ.d.ʌ.d
ʌ.ʃ.ɚ	ʌ.ʃ.ɚ.d
w.ɪ.s.k	w.ɪ.s.k.t
w.i.l.d	w.i.l.d.ɪ.d
ʌ.s.ɛ.n.d	ʌ.s.ɛ.n.d.ʌ.d
b.ʌ.b.ʌ.l	b.ʌ.b.ʌ.l.d
k.æ.ʃ	k.æ.ʃ.t
ɹ.ɛ.l.ɪ.ʃ	ɹ.ɛ.l.ɪ.ʃ.t
s.k.ɹ.ɪ.b.ʌ.l	s.k.ɹ.ɪ.b.ʌ.l.d
θ.ʌ.m.p	θ.ʌ.m.p.t
w.ɪ.θ.h.oʊ.l.d	w.ɪ.θ.h.ɛ.l.d
ɪ.f.ɛ.k.t	ɪ.f.ɛ.k.t.ʌ.d
f.ɪ.d.ʌ.l	f.ɪ.d.ʌ.l.d
h.ʌ.ʃ	h.ʌ.ʃ.t
m.æ.n	m.æ.n.d
n.oʊ.t.ʌ.f.aɪ	n.oʊ.t.ʌ.f.aɪ.d
p.l.ʌ.g	p.l.ʌ.g.d
s.m.ʌ.ð.ɚ	s.m.ʌ.ð.ɚ.d
ɹ.ɪ.ŋ	ɹ.ʌ.ŋ
ɹ.ɪ.k.ɚ	ɹ.i.k.ɚ.d
k.ʌ.m.p.j.u.t	k.ʌ.m.p.j.u.t.ʌ.d
ɛ.n.l.ɪ.s.t	ɛ.n.l.ɪ.s.t.ɪ.d
p.ɛ.ɹ.ɪ.ʃ	p.ɛ.ɹ.ɪ.ʃ.t
ɹ.ɪ.f.ɹ.eɪ.n	ɹ.ɪ.f.ɹ.eɪ.n.d
s.n.ɑ.ɹ.l	s.n.ɑ.ɹ.ʌ.l.d
v.ɪ.ʒ.w.ʌ.l.aɪ.z	v.ɪ.ʒ.w.ʌ.l.aɪ.z.d
d.ɪ.s.p.æ.tʃ	d.ɪ.s.p.æ.tʃ.t
ɪ.m.b.ɹ.ɔɪ.d.ɚ	ɛ.m.b.ɹ.ɔɪ.d.ɚ.d
f.eɪ.n.t	f.eɪ.n.t.ɪ.d
l.ɪ.m.p	l.ɪ.m.p.t
w.ɪ.θ.s.t.æ.n.d	w.ɪ.θ.s.t.ʊ.d
æ.v.ɚ.ɪ.dʒ	æ.v.ɹ.ɪ.dʒ.d
k.ʌ.n.s.ɚ.v	k.ʌ.n.s.ɚ.v.d
g.l.aɪ.d	g.l.aɪ.d.ɪ.d
h.aɪ.l.aɪ.t	h.aɪ.l.aɪ.t.ɪ.d
ɹ.æ.l.i	ɹ.æ.l.i.d
ʃ.ɪ.m.ɚ	ʃ.ɪ.m.ɚ.d
θ.ɪ.k.ʌ.n	θ.ɪ.k.ʌ.n.d
k.ɚ.ɛ.s	k.ɚ.ɛ.s.t
